,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
,2,442,649,8.7,48.2,4,117,5475,2663,0,0,0,0,0.772
,3,442,745.6,9.4,139,5,115,6300,2821,0,50.4,0,1,0.813
,4,442,846.1,7.1,270,5,120,6608,3257,0,71.6,2,2,0.864
,5,442,580.2,8.3,204.5,4,112,5852,2218,0,79.5,4,2,1.945
,6,442,1101.2,8.7,78.2,6,121,5240,2020,0,86.4,6,3,1.081
,7,442,1039.7,8.9,99,5,114,5649,2350,0,106.3,10,3,1.106
,8,442,605.7,8.4,104.4,4,114,4816,2611,31.5,210.5,51,2,1.182
,9,442,1243.4,7.7,145.3,3,110,5600,2923,39.9,312.5,57,5,1.249
,10,442,667.3,8.1,161,5,114,5970,3130,67.1,391.1,61,5,1.519
Sec_36,1,861,2081.4,13.8,2.9,6,104,5100,359,0,152.2,66,6,2.102
,2,861,1245.2,15.1,0,3,110,5100,181,0,196.3,82,6,2.192
,3,861,1351.2,15.4,0,4,108,5100,181,91.5,198.3,85,6,2.201
,4,861,1324.6,16.1,0,4,102,5100,181,98.2,199.5,89,7,2.216
,5,861,1373.5,16,1,3,102,5100,181,105.7,201.4,93,7,2.231
,6,861,1471.7,15.8,0,3,106,5100,181,120.7,207.2,105,8,2.283
,7,861,1331.5,16.1,0,4,101,5200,184,123.7,218.2,130,8,2.312
,8,861,1842,15.6,0,4,105,5300,188,127.5,226.3,142,8,2.33
,9,861,1715.6,15.2,0,4,105,5300,188,128.2,235.3,161,9,2.345
,10,861,886.3,15.7,0,3,108,6500,231,129.7,242.1,172,9,2.361
Sec_37,1,1351,645,8.2,206,4,117,1575,619,0,0,4,10,1.311
,2,1351,649,8.7,48.2,4,117,1550,608,0,1.5,7,10,1.338
,3,1351,745.6,9.4,139,5,115,1550,621,0,2.1,15,10,1.382
,4,1351,846.1,7.1,270,5,120,1500,600,0,2.6,15,11,1.405
,5,1351,580.2,8.3,204.5,4,112,1500,600,0,3.4,16,11,1.436
,6,1351,1101.2,8.7,78.2,6,121,1550,608,0,5.3,16,11,1.46
,7,1351,1039.7,8.9,99,5,114,1375,539,11.3,5.8,17,13,1.62
,8,1351,605.7,8.4,104.4,4,114,1375,539,14.2,6.3,18,14,1.71
,9,1351,1243.4,7.7,145.3,3,110,1400,512,18.3,8.3,19,16,1.91
,10,1351,667.3,8.1,161,5,114,1550,543,20.5,9.45,19,17,1.93
Sec_38,1,405,1576.4,10.6,17.5,6,109,1975,379,0,30.6,24,0,1.059
,2,405,1452.8,9.8,48,6,107,1975,386,0,35.6,27,3,1.14
,3,405,1620.2,9.9,62,4,109,2175,388,0,44.3,29,3,1.142
,4,405,1377.4,10.6,0,4,109,2150,384,1.8,78.4,30,3,1.149
,5,405,1662.3,11.6,2,6,111,3640,390,2.1,177.1,34,4,1.152
,6,405,1933.6,9.8,12,7,114,3720,390,3.1,185.4,39,4,1.155
,7,405,1546.8,10.1,4.2,8,113,3800,400,3.8,194.5,41,4,1.16
,8,405,2524.4,10.9,2.7,9,115,3800,403,4.3,204.1,44,5,1.171
,9,405,3046.2,10.7,3,9,107,3760,398,4.9,206.6,47,6,1.19
,10,405,1627.7,10.2,2.9,11,106,3760,398,5.4,210.5,48,6,1.206
Sec_39,1,405,2632.5,10.1,19.5,7,107,3840,260,0,59.5,6,3,0.871
,2,405,1745,10,5.6,4,108,3840,260,0,80.5,6,3,0.92
,3,405,1693.2,10.3,0,8,109,3840,260,0,87.3,7,4,0.95
,4,405,1538.1,10.5,1,5,109,4000,271,1.2,101.5,9,5,1.317
,5,405,1724.4,11,9,4,108,4000,271,1.9,108.4,14,5,1.524
,6,405,1831.7,11.1,0,6,110,4000,271,2.5,115.4,17,6,1.592
,7,405,1760.8,11,4,9,107,4400,298,3.7,123.6,28,6,1.669
,8,405,2148.9,10.7,3,9,110,4400,298,7.7,135.8,30,6,1.819
,9,405,2283.3,10.8,5,5,110,4360,295,9.9,190.8,34,7,1.837
,10,405,1585.7,10,14,9,109,4360,295,10.3,229.4,36,8,1.863
Sec_40,1,819,1010.2,11.4,0,24,104,1038,264,0,0,22,3,1.024
,2,819,1213.7,11.7,0,29,102,1075,274,0,162.3,23,3,1.059
,3,819,926.4,11.5,0,20,102,1088,277,0,193.5,24,5,1.182
,4,819,1257.4,12.9,0,16,103,1088,277,0,202.3,38,5,1.438
,5,819,1318.2,12,0,18,103,1113,283,0.9,216.4,42,6,1.567
,6,819,1120.6,11.8,0,28,103,1063,357,1.1,249.5,44,6,1.743
,7,819,1734.7,12.5,0,30,102,1088,366,1.4,269.1,45,7,1.834
,8,819,1937.8,12.2,0,29,102,1125,379,1.9,280.3,46,8,1.891
,9,819,1070.6,12.7,0,27,103,1500,485,2.1,293.4,49,8,1.964
,10,819,2001.6,11.7,0,22,101,6760,703,36.4,321.4,51,8,2.011
Sec_41,1,726,1209.4,10.8,23,6,108,1125,379,0,0,0,1,1.251
,2,726,1325.6,11,33,4,114,1500,485,0,0,0,2,1.302
,3,726,1091,11.6,0,6,108,2320,447,0,0,0,2,1.371
,4,726,1529.6,12.5,0,6,110,2280,430,0,0,0,3,1.401
,5,726,1581.4,10.9,5,5,111,2360,450,0,0,13,3,1.419
,6,726,1213.8,10.9,1.5,9,115,2440,470,0,0,13,4,1.675
,7,726,2186.9,11.8,0,5,119,2440,470,0,16.5,13,4,1.783
,8,726,2386,11.8,1,6,114,2400,462,2.7,87.8,15,5,1.834
,9,726,1168,11.3,0.9,11,112,3040,585,5.3,151,21,5,1.912
,10,726,2253.1,10.7,10,6,111,2400,456,7.1,174.4,29,6,1.958
Sec_42,1,1194,549,14.1,0,6,118,8125,774,0,0,0,0,0.916
,2,1194,438.2,14.7,3,5,119,8935,810,0,0,0,3,1.03
,3,1194,626.4,14.7,0,8,120,9575,895,1.8,28.5,13,4,1.04
,4,1194,826.6,15.2,0,6,120,10100,960,7.8,31.4,17,4,1.19
,5,1194,965.3,14.2,0,6,117,10730,1000,13.6,35.7,24,6,1.28
,6,1194,707,14.2,0,6,119,10730,1000,21.3,39.2,32,6,1.413
,7,1194,1332.1,14.7,0,6,120,10730,1000,28.9,43.9,37,7,1.509
,8,1194,1079.3,15.1,0,6,112,12325,1149,187.6,48.1,45,8,1.569
,9,1194,709.2,15,0,4,118,12325,1149,192.3,53.4,63,8,1.581
,10,1194,1255.9,13.7,0.1,8,130,12325,908,196.7,61.2,69,8,1.604
Sec_43,1,668,385.5,12.7,0,22,105,6720,296,0.2,28.2,10,8,1.319
,2,668,342.4,12.9,0,19,105,7080,312,2.2,29.7,12,8,1.321
,3,668,471.4,12.6,0,21,104,7560,305,4.5,32.3,14,8,1.35
,4,668,510.7,13.9,0,20,105,7920,317,11.5,34.4,17,9,1.363
,5,668,685.1,13.4,0,22,106,8280,331,16.7,39.9,19,9,1.389
,6,668,563.2,12.7,0,24,105,8640,346,26.5,49.5,23,9,1.409
,7,668,879.1,13.3,0,21,106,8880,355,33.4,62.9,31,9,1.432
,8,668,731.6,13.2,0,24,104,9000,480,52.6,79.2,42,10,1.457
,9,668,612,13.9,0,20,104,10680,555,105.4,99.8,48,10,1.464
,10,668,949.5,13.1,0,26,107,10680,555,158.6,120.6,52,10,1.561
Sec_44,1,617,816.9,13.3,3,9,111,2525,172,2.3,45.5,39,5,1.357
,2,617,701.4,13.6,4,8,116,2730,177,2.4,46.7,45,5,1.367
,3,617,885.4,14,0,8,113,3105,185,2.5,48.8,63,5,1.407
,4,617,1256.6,14.6,0,8,111,3955,198,2.7,60.5,63,5,1.446
,5,617,1318.4,13.4,0,7,117,4600,208,2.75,84.5,63,6,1.472
,6,617,875.2,13.4,0,8,108,5350,214,2.8,108,65,6,1.523
,7,617,1948.5,14,0,7,118,5350,214,3.2,122.6,65,6,1.531
,8,617,1699.2,14.4,0,7,110,4700,188,4.6,140.3,77,6,1.547
,9,617,903.5,14,0,7,110,4800,192,6.5,170.3,91,7,1.563
,10,617,1830.4,13,1.3,8,114,5500,220,7.6,220.4,100,7,1.576
Sec_45,1,381,646.9,15.2,6,4,106,3100,226,0,11.1,1,3,1.671
,2,381,548.3,15.5,8,6,102,2800,204,0,29.5,5,3,1.684
,3,381,884.5,15.5,0,6,105,2500,180,0,71,13,4,1.692
,4,381,965.7,16.3,0,5,105,2100,110,0,118.4,18,5,1.697
,5,381,1007.3,15.2,0,5,101,1875,90,0.7,148.7,18,5,1.727
,6,381,806.5,15.3,0,5,104,1875,92,4.8,170.4,18,5,1.736
,7,381,1658.6,15.7,0,3,101,1775,80,6.5,185.4,19,6,1.742
,8,381,1754.6,16.1,0,6,104,1775,80,20.5,215.5,19,6,1.753
,9,381,915.6,16.2,0.2,5,106,2054,93,77.9,22.5,20,7,1.802
,10,381,1642,14.2,2.3,7,109,1876,84,116.5,229.7,23,7,1.841
Sec_46,1,323,60.7,18.5,6,2,112,2825,2492,0,11.6,21,3,0.781
,2,323,103.7,17.5,16,3,110,2800,2470,0,19.5,43,3,0.864
,3,323,179.3,17.1,0,4,119,2800,2470,0,35.3,43,4,0.929
,4,323,280.6,17.5,0,3,113,4335,1578,0,45.5,46,4,1.094
,5,323,383.4,16.9,0,4,115,4335,1578,0,57.6,47,4,1.132
,6,323,147.1,18,0,4,109,4454,1621,0,79.7,48,5,1.167
,7,323,189.9,18.2,0,5,115,4290,1561,1.1,87.3,52,6,1.234
,8,323,159.7,18.8,0,3,111,4800,1750,1.3,96.3,56,7,1.297
,9,323,284.3,18.3,0,2,117,4414,1337,1.6,101.5,59,7,1.342
,10,323,188.2,16.8,0,3,116,4334,1305,2.1,109.9,65,8,1.387
Sec_47,1,571,149.7,17.1,0,4,115,2550,217,0,15.2,13,2,0.609
,2,571,173.7,16.9,0,4,112,2650,225,0,16.7,14,2,0.66
,3,571,413.1,16.3,0,5,106,2650,225,0,17.9,15,3,0.679
,4,571,533.6,17,0,4,114,3976,196,0,19.3,15,4,0.712
,5,571,550.9,16.2,0,4,107,5567,529,0,21.2,17,4,0.741
,6,571,251.5,16.6,0,7,112,18292,486,0,23.6,17,6,0.793
,7,571,613.5,17.2,0,5,109,15660,854,0,26.7,18,6,0.894
,8,571,365.3,17.6,0,4,116,15080,761,0,29.5,18,7,0.931
,9,571,295,17.3,0,4,112,15660,788,0,31.5,19,7,0.99
,10,571,546.8,15.6,0,6,113,16530,1015,0,33.6,19,7,1.002
Sec_48,1,516,144.3,15.9,1,5,117,950,221,0.6,214.5,12,5,1.528
,2,516,174.2,15.7,4,4,113,1000,232,3.7,224.5,19,5,1.618
,3,516,387.6,15.4,0,6,110,1050,240,15.2,236.3,32,5,1.709
,4,516,492.8,16,0,6,115,1130,233,22.7,254.4,40,7,1.718
,5,516,462.4,15.3,0,4,113,1200,229,27.5,263.5,43,7,1.73
,6,516,268.4,15.4,0,6,114,1150,219,33.5,276.1,47,8,1.762
,7,516,575,15.8,0,6,110,1250,238,89.5,282.4,55,8,1.823
,8,516,442.9,16.5,0,5,117,1250,238,161.5,289.9,63,9,1.942
,9,516,374.4,16.1,0,5,118,950,180,288.6,294.2,67,10,2.216
,10,516,745.7,14.1,0,5,114,1175,240,447.5,299.1,111,10,2.328
Sec_49,1,516,253.5,15.2,0,4,121,1200,265,290.5,0,117,6,2.224
,2,516,402.9,15.6,0,5,118,1200,265,299.5,0,117,8,2.329
,3,516,514.2,15.9,0,6,116,1200,265,305,0,130,10,2.334
,4,516,272.3,15.8,0,5,114,1300,286,319.2,152.4,142,10,2.352
,5,516,305.7,16.1,0,6,115,1250,275,323.5,177.5,142,11,2.381
,6,516,393.9,15.9,0,6,117,1450,319,342.8,193.6,157,12,2.407
,7,516,447.3,15.6,0,6,110,1450,319,353.7,222.5,164,13,2.419
,8,516,480.4,15.6,0,5,116,1500,330,460.7,267.8,180,13,2.445
,9,516,204.8,15.9,0,6,117,1500,330,487.7,285,191,14,2.49
,10,516,340.5,15.6,0,6,117,1550,335,498.4,295.6,201,14,2.555
Sec_50,1,520,313.9,15.9,0,4,114,4150,166,0,36.9,10,3,1.29
,2,520,369.3,16.4,0,5,109,6400,307,0,43.9,11,3,1.3
,3,520,250,15.8,4,4,119,6450,310,0,47.8,13,4,1.31
,4,520,256,15.7,8,4,114,6200,290,0,51.5,13,4,1.321
,5,520,392.7,15.6,0,6,115,5870,250,0,54.8,21,5,1.369
,6,520,476.2,16.4,0,4,112,4560,198,0,59.2,21,5,1.396
,7,520,524.5,15.5,0,3,118,3550,156,0,64.6,22,4,1.412
,8,520,272.4,15.8,0,4,114,3700,163,0,66.1,22,5,1.445
,9,520,612.3,16.2,0,4,111,3700,163,0,82.5,27,5,1.464
,10,520,580.1,16.6,0,4,116,3750,165,0,103.1,27,5,1.49
Sec_51,1,520,384.1,16.2,0,3,118,3650,478,0,67.3,27,3,1.528
,2,520,876.5,14.3,0,4,120,3750,488,0,75.3,27,3,1.544
,3,520,252.6,15.8,0,3,114,3850,616,0,88.7,31,3,1.606
,4,520,433.2,16.1,0,4,110,3850,616,0,87.9,31,5,1.613
,5,520,554.4,16.3,0,4,116,3850,655,0,110,34,5,1.636
,6,520,382.2,16.1,0,4,116,4200,714,0,116.4,39,6,1.64
,7,520,393.2,16.6,0,3,110,4500,675,0,123.4,41,6,1.645
,8,520,385.2,16.2,0,5,119,4600,690,0,139.5,83,8,1.653
,9,520,500.1,16.2,0,3,111,4850,728,0,153.7,83,9,1.661
,10,520,538.7,16.2,0,4,115,5950,560,0,196.3,85,12,1.67
Sec_52,1,485,896.5,15.2,10,4,104,3000,210,0,25.6,22,6,1.719
,2,485,1004.3,15.5,0,5,104,2500,175,0,163.5,38,7,1.747
,3,485,1449.4,15.9,0,4,105,1800,145,0,165.3,41,7,1.803
,4,485,1564.6,14.4,7,3,103,1550,110,2.5,172.5,44,8,1.823
,5,485,904.9,15,0.3,3,105,1200,95,5.3,178.5,48,8,1.837
,6,485,2356.8,15.3,0,5,102,4500,315,8.2,186.2,53,8,1.853
,7,485,2236.8,15.7,0,4,108,4500,315,15.8,188.1,57,9,1.862
,8,485,1078.8,15.6,0.9,3,105,1550,109,19.9,191.5,58,9,1.882
,9,485,2081.4,13.8,2.9,6,104,5100,359,30.4,194.8,80,10,1.907
,10,485,1245.2,15.1,0,3,110,5100,181,35.6,199.8,91,10,2.066
Sec_53,1,612,236,7.3,657,3,111,430,65,0,167.6,14,4,2.2
,2,612,336.5,7.8,517,6,111,395,75,0,209.4,16,5,2.26
,3,612,370.8,6.9,562.1,7,112,375,100,3.9,272.9,22,5,2.3
,4,612,458.3,7.7,485,8,110,425,90,6.4,304.1,37,6,2.38
,5,612,466.1,6.2,564,7,113,450,95,9.8,314.7,51,6,2.44
,6,612,291.2,8.3,416.3,6,110,470,89,14.9,322.6,53,6,2.512
,7,612,483,7.5,260.4,8,109,495,80,19.7,356.7,57,7,2.585
,8,612,521.9,7.4,526,6,110,525,85,19.9,380.7,59,8,2.754
,9,612,495.9,7.1,542.8,6,110,542,81,22.3,402.5,60,8,2.771
,10,612,360.8,7.6,391.2,9,109,565,87,24.6,410.9,62,9,2.821
Sec_54,1,612,396.9,7.8,263,8,106,600,80,13,40.4,13,1,1.843
,2,612,369.5,8.4,364,4,116,560,80,15,42.4,16,1,1.886
,3,612,339.4,8.7,362,5,116,480,85,18.6,81.4,46,2,1.895
,4,612,324.3,8.2,421,4,115,115,26,21.6,84.3,53,3,1.912
,5,612,355.3,8.8,292,5,109,115,25,27.8,89.1,72,3,1.934
,6,612,389.3,8.3,383,7,107,120,25,29.5,94.3,78,4,1.962
,7,612,504,8.4,283,7,114,100,20,33.3,99.6,81,4,1.983
,8,612,395.4,8.3,368,5,105,100,21,39.7,101.4,85,5,1.991
,9,612,382.4,8.7,522,5,105,89,49,41.5,110.4,87,6,2.021
,10,612,350.3,7.3,537,6,107,130,80,56.3,119.2,93,8,2.051
Sec_55,1,612,445.3,7.5,427,8,110,90,47,0.5,19.4,19,1,1.102
,2,612,558.4,7.7,427,6,108,91,47,1.7,26.1,20,1,1.107
,3,612,533.2,7.2,469,8,112,91,47,2.8,26.6,20,2,1.229
,4,612,318.9,9.5,322,4,109,120,55,1.9,27,23,2,1.232
,5,612,460.1,7.7,530,5,111,120,55,3.2,27.3,23,2,1.307
,6,612,536.6,8.3,352,7,119,130,59,3.6,27.7,25,2,1.385
,7,612,514.2,8.8,362,8,111,100,48,4.3,34.5,26,3,1.465
,8,612,452.1,8.2,504,6,107,110,53,4.5,53,27,3,1.495
,9,612,507.3,8.7,377.7,8,110,110,53,5.1,59,27,3,1.532
,10,612,383,8.8,363,4,106,115,54,6.3,82,28,3,1.583
Sec_56,1,282,379.7,12.5,171.2,7,111,1850,255,6.3,0,13,16,1.961
,2,282,564.9,13.6,57.7,4,108,1760,260,23.1,5.4,14,16,2
,3,282,579.5,12.9,110.7,6,112,1820,255,39.4,10.6,15,17,2.016
,4,282,419.9,13,111.7,7,107,1960,270,46.6,12.2,17,18,2.029
,5,282,381.5,12.9,168,5,105,2050,290,53.4,18.1,24,18,2.042
,6,282,449.6,13.1,121,5,102,1960,285,71.2,21.4,35,18,2.052
,7,282,449,12.8,100.6,6,109,1755,265,82.4,24.8,48,19,2.065
,8,282,542.1,12.8,62,5,113,1755,270,93.9,32.2,54,21,2.37
,9,282,639.7,12,123,6,107,1822,257,98.8,37.8,55,23,2.4
,10,282,444.2,13.5,58.7,6,110,1868,266,169.5,44.4,56,25,2.516
Sec_57,1,512,392.8,11.4,217,5,111,8820,1062,33.3,4,25,5,2.291
,2,512,609.6,11.3,153,6,99,8640,1130,33.5,22.3,41,5,2.425
,3,512,731.8,11.1,128,5,101,8640,1220,33.7,64.4,44,6,2.597
,4,512,712.3,11.3,101,7,103,9135,1240,33.8,92.3,47,6,2.665
,5,512,625,10.4,156,7,105,9720,1260,64.1,120.9,63,8,3.005
,6,512,518.2,11.8,79.3,6,102,10300,1290,101.1,151.4,69,9,3.182
,7,512,439.8,11.2,99.8,7,102,10800,1330,116.6,200.6,71,10,3.37
,8,512,527.3,11.5,160,4,99,11100,1365,205.4,200.9,81,10,3.521
,9,512,526.8,10.8,191.8,5,105,11430,1391,224.3,207.6,87,11,3.571
,10,512,641.5,11.5,107,5,104,12831,1528,335.8,217.9,92,12,3.712
Sec_58,1,635,741.5,9.9,233,6,104,4320,1165,0,131.9,13,19,1.202
,2,635,684.4,9.6,179.2,6,110,4500,1280,0,133,14,19,1.298
,3,635,664.2,9.9,168,9,100,4500,1355,0,143.4,16,19,1.328
,4,635,727.3,8.7,237,8,101,4850,1430,0,162.4,16,20,1.36
,5,635,562.8,10.5,139,7,103,5100,1590,0,171.2,15,20,1.37
,6,635,630.7,9.6,143.2,8,99,5450,1640,0,183.4,16,23,1.399
,7,635,623.4,9.7,299,6,98,5800,1780,0,196.5,17,23,1.425
,8,635,665.4,9.3,289,7,100,6210,1820,0,206.9,17,24,1.462
,9,635,704.4,9.9,169.4,8,107,6390,1880,0.5,247.6,18,25,1.512
,10,635,724.9,10.2,84,7,101,6300,1850,1,285.5,22,25,1.552
Sec_59,1,635,507.9,10.6,133,6,105,6325,1860,2,261.4,28,4,1.292
,2,635,668.2,10.8,124,6,99,6325,1390,3.3,263.6,31,6,1.335
,3,635,334.8,10.3,191,5,100,13707,2071,3.2,298.3,32,7,1.365
,4,635,576.5,10.6,133,6,107,11520,1738,3.5,312.6,37,8,1.381
,5,635,719.1,10.2,164,7,103,14760,2230,5.4,332.2,57,8,1.445
,6,635,759.5,10.7,158,6,104,18770,2840,6.8,333.9,75,9,1.487
,7,635,714.8,10.6,176,5,97,18770,2840,8.4,345.2,79,10,1.511
,8,635,594.4,10.5,310,8,100,30915,4672,11.1,369.6,91,10,1.529
,9,635,571.8,9.8,231,6,99,30420,4597,12.2,391.6,124,11,1.643
,10,635,629.2,9.3,231,9,98,30330,3924,14.1,402.3,157,12,1.767
Sec_60,1,349,827.2,6.9,400,7,107,6345,305,0,0,6,4,1.182
,2,349,1010.6,6.5,376.2,7,108,6660,265,0,0,14,5,1.214
,3,349,691.4,6.7,370,9,104,8010,310,0,0,14,5,1.225
,4,349,705,6,411,8,107,8530,360,0,67.4,15,7,1.234
,5,349,673,7.3,330.3,7,103,9100,410,0,75.4,16,7,1.253
,6,349,689,6.6,291.7,8,107,9640,460,1.3,87.8,18,10,1.271
,7,349,781.6,6.9,423,8,100,9800,495,2.4,96.3,21,10,1.312
,8,349,660.5,6.4,498.6,7,105,10170,530,3.5,112.5,14,12,1.339
,9,349,828.9,7,336.6,8,108,10670,550,6.4,135.4,27,18,1.364
,10,349,819.5,7.2,246.8,7,105,10310,530,8.3,146.7,57,22,1.38
Sec_61,1,349,658.7,7.6,318,7,110,10475,545,0,0,0,4,1.021
,2,349,672.2,7.7,324,6,110,9900,395,0,0,0,4,1.031
,3,349,293.3,7.6,365,5,102,9520,318,0,3.8,0,5,1.055
,4,349,712.5,7.7,291,6,103,9861,184,0.3,4.7,1,5,1.073
,5,349,803,7.1,339,6,104,10148,182,0.8,6.3,1,7,1.099
,6,349,727.3,7.7,286,7,109,9980,180,1.5,8.4,4,7,1.12
,7,349,942.6,7.3,329,5,102,10019,178,3.7,11.2,5,7,1.19
,8,349,731.8,7.2,484,9,106,9804,165,7.6,13.3,9,9,1.255
,9,349,535.2,6.7,446,6,103,9030,99,14.7,18.3,10,9,1.324
,10,349,636.9,6.5,397,7,102,9374,165,19,23.2,11,11,1.455
Sec_62,1,1022,449.6,13.1,121,5,102,1960,285,0,0,0,2,1.051
,2,1022,449,12.8,100.6,6,109,1755,265,2,0,7,5,1.115
,3,1022,542.1,12.8,62,5,113,1755,270,4.3,26.4,14,5,1.198
,4,1022,639.7,12,123,6,107,1822,257,7.6,32.8,15,5,1.255
,5,1022,444.2,13.5,58.7,6,110,1868,266,13.2,43.3,19,6,1.289
,6,1022,372.6,13,64.3,5,107,1870,225,23.9,66.4,20,6,1.324
,7,1022,474.5,13,131,4,101,2230,230,35.4,83.2,20,7,1.605
,8,1022,549,12.3,154.9,4,111,2300,240,48.5,97.8,23,7,1.689
,9,1022,442.3,13.1,78.4,3,104,2385,250,58.9,143.2,23,8,1.784
,10,1022,576.2,13.3,24.8,7,108,2385,250,75.5,176.7,26,9,1.932
Sec_63,1,811,393.9,7.8,506,4,113,4050,740,0,10.8,0,11,0.994
,2,811,394.3,6.7,533.2,7,115,4120,770,0,31.2,0,12,1.104
,3,811,446.1,7.4,489,7,108,3975,675,0,36.4,0,12,1.129
,4,811,510.2,6.1,573,7,107,4000,695,0,40.6,1,12,1.162
,5,811,365.4,8,448,6,106,4135,725,0,79.3,1,12,1.188
,6,811,458.9,7.4,252.6,6,110,4270,760,5.5,87.3,2,13,1.212
,7,811,526.7,7.4,513,5,107,4400,795,8.3,96.4,3,13,1.243
,8,811,490.7,7,512.1,6,112,4565,835,18.4,102.4,3,13,1.295
,9,811,351.7,7.5,388.5,8,110,4795,850,29.5,112.5,4,14,1.303
,10,811,325.8,7.8,258.3,8,108,4910,860,36.7,121.3,4,14,1.354
Sec_64,1,811,324.4,8.4,330,4,107,5020,880,0,57.2,0,2,0.461
,2,811,371.9,8.6,356,6,112,4400,795,0,67.4,0,2,0.481
,3,811,318.2,8.2,404,3,115,4545,1099,9.9,75.7,0,4,0.512
,4,811,340.2,8.7,294,4,109,4147,844,15.2,88.3,0,5,0.561
,5,811,503.2,8,417,7,106,4980,1017,30.6,110.2,0,7,0.618
,6,811,529,8.1,292,7,105,5250,1070,39.5,121.2,1,7,0.632
,7,811,425,7.9,388,5,114,6240,1271,52.3,139.2,7,8,0.654
,8,811,397.4,8.3,555,4,111,6780,1382,67.8,142.3,11,9,0.667
,9,811,377.4,6.8,668,7,114,6750,1451,83.4,147.8,21,10,0.691
,10,811,427.4,7.5,463,8,114,5310,1140,89.6,152.4,25,10,0.718
Sec_65,1,876,338.3,8.6,395,5,109,2520,355,0,7.3,0,7,1.107
,2,876,316.9,7.8,336.2,5,124,2925,375,0,7.8,0,7,1.41
,3,876,346.3,8.2,338,7,110,3130,375,0,13.3,0,8,1.532
,4,876,300.5,7.3,382,6,107,3465,441,0,23.3,1,8,1.592
,5,876,289.7,8.7,347.8,5,110,2640,415,0.5,34.5,1,10,1.652
,6,876,320.1,8.2,165.6,6,125,4230,385,4,43.2,1,10,1.726
,7,876,337.5,8.3,420,4,107,4430,410,7,54.3,1,10,1.772
,8,876,368.2,7.9,360.8,5,109,4740,425,8,59.6,2,12,1.901
,9,876,266.8,8.2,278.2,7,112,5150,455,13,73.5,2,12,2.008
,10,876,269,8.5,175.8,6,104,5450,505,18.5,85.4,2,13,2.091
Sec_66,1,1402,1289.4,12.5,75.4,21,114,4352,392,0,0,0,1,0.835
,2,1402,1158.1,14,26.2,22,117,4613,416,0,0,0,14,0.841
,3,1402,1241.6,13.4,59.4,22,116,4890,440,0,0,0,5,0.845
,4,1402,1281,12.2,157,28,117,5183,467,0.8,0,0,5,0.852
,5,1402,1009.5,13.2,43,23,127,5494,495,11.4,0,0,5,0.868
,6,1402,1166.8,14,36,19,119,5824,525,26.1,0,0,5,0.882
,7,1402,1718.6,12,148,34,117,6173,556,90.9,33.4,0,6,0.958
,8,1402,1224.3,13,165,33,120,6544,589,155.7,36.7,0,6,1.073
,9,1402,1352.7,13,129,21,122,6936,625,238,39.3,0,7,1.145
,10,1402,1272.8,14,23,28,121,7353,662,275.4,43.8,0,7,1.211
Sec_67,1,796,878,24,0,16,108,7849,1115,0,0,0,4,0.511
,2,796,1081.8,24.4,0,25,114,8041,1142,0,0,0,4,0.542
,3,796,1473.4,23.8,0,29,107,8150,900,0,0,0,5,0.564
,4,796,1008.3,23.1,0,29,109,7590,650,0,0,0,5,0.592
,5,796,1234.7,23,0,39,106,7000,420,0,0,0,6,0.614
,6,796,1558.3,23.7,0,35,108,7850,114,0,0,0,6,0.634
,7,796,1846.9,23,0,45,111,9071,131,0,0,0,6,0.662
,8,796,1146.6,22.8,0,31,108,9240,223,0,0,0,7,0.678
,9,796,1368.9,23.8,0,26,105,9500,231,0,0,0,7,0.681
,10,796,1201.2,23.9,0,33,106,9700,237,0,0,0,7,0.692
Sec_68,1,796,1687,23.4,0,22,108,9900,244,0,0,0,3,0.7
,2,796,733.7,23.4,0,28,111,10200,280,0,0,1,3,0.701
,3,796,1450.2,23.6,0,18,115,10300,315,1,0,1,3,0.729
,4,796,1034.6,23.7,0,35,108,10501,267,1.4,4.5,2,6,0.761
,5,796,1213.1,23.7,0,27,112,10740,275,3.8,5.5,2,6,0.806
,6,796,1198.4,23.9,0,23,111,10890,283,6.22,6.3,3,6,0.808
,7,796,1488.6,23.3,0,28,110,11120,292,7.1,6.9,3,8,0.831
,8,796,968.6,23.8,0,23,107,11490,300,15.2,7.2,3,9,0.871
,9,796,1063,24.2,0,22,109,11645,377,22.3,7.7,4,9,0.932
,10,796,1312.8,23.5,0,23,109,11430,319,27.9,8.4,4,12,0.999
Sec_69,1,796,1181,23.8,0,24,110,11630,350,28,2.5,16,5,1.102
,2,796,1038.5,22.3,0,18,111,11900,385,39.5,2.9,21,5,1.085
,3,796,1178.8,24.4,0,24,110,12234,405,51.8,3.8,21,5,1.121
,4,796,1132.3,23.9,0,19,109,12340,390,57.8,4.4,23,5,1.177
,5,796,1302.3,24,0,21,104,12590,430,66.8,5.3,27,6,1.801
,6,796,1166.8,23.9,0,25,108,12650,460,73.5,6.4,27,6,1.837
,7,796,1099.2,25.1,0,27,109,12710,445,81.7,7.3,33,6,1.828
,8,796,1611.8,23.9,0,32,112,12785,480,89.4,7.8,35,9,1.853
,9,796,1507.7,24.4,0,20,109,12840,495,96.5,8.6,39,9,1.883
